file,sample_id,change_count,changes
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0039.json,cdr_0_voice2_female_picture_description_0039,5,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0046.json,cdr_0_voice2_female_picture_description_0046,5,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0056.json,cdr_0_voice2_female_picture_description_0056,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0068.json,cdr_0_voice2_female_picture_description_0068,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0069.json,cdr_0_voice2_female_picture_description_0069,5,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0074.json,cdr_0_voice2_female_picture_description_0074,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0097.json,cdr_0_voice2_female_picture_description_0097,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0099.json,cdr_0_voice2_female_picture_description_0099,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0108.json,cdr_0_voice2_female_picture_description_0108,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
cdr_0/one_person_description/cdr_0_voice2_female_picture_description_0122.json,cdr_0_voice2_female_picture_description_0122,6,event_script:rebuilt_from_marked_transcript; event_stats:recalculated; impairment_features:removed_pause_event_count; marked_transcript:normalized; speech_rate_target:promoted_to_top_level; spoken_transcript:rebuilt_from_marked_without_markers
